Wavlength (nm);475-20 REF;475-20;475-20 %;110%;560-20 REF;560-20;560-20 %;100%;668-10 REF;668-10;668-10 %;97%;717-10 REF;717-10;717-10 %;107%;840-40 REF;840-40;840-40 %;106%;;;;
360;0.152129;0.003658;2.6%;;0.158981;0.008477;5.3%;;0.167226;0.006561;3.8%;;0.184355;0;0.0%;;0.1746;0.001553;0.9%;;;;;
361;0.15641;0.0036;2.5%;;0.164552;0.007865;4.8%;;0.18078;0.005372;2.9%;;0.188313;0.002659;1.5%;;0.180226;0.00144;0.8%;;;;;
362;0.164539;0.002752;1.8%;;0.174062;0.007762;4.5%;;0.175273;0.002477;1.4%;;0.198228;0.004844;2.6%;;0.188925;0.00117;0.7%;;;;;
363;0.17474;0.001689;1.1%;;0.180104;0.007133;4.0%;;0.178495;0.003701;2.0%;;0.207618;0;0.0%;;0.196891;0.001193;0.6%;;;;;
364;0.185518;0.003022;1.8%;;0.191721;0.006364;3.3%;;0.196802;0.004492;2.2%;;0.215733;0.005134;2.5%;;0.200813;0.001217;0.6%;;;;;
365;0.192496;0.004084;2.3%;;0.202265;0.004484;2.2%;;0.211821;0.002722;1.2%;;0.22239;0.006406;3.1%;;0.212835;0.001548;0.8%;;;;;
366;0.198946;0.003291;1.8%;;0.201245;0.006113;3.0%;;0.210649;0.002926;1.3%;;0.221881;0.006687;3.2%;;0.217858;0.001097;0.5%;;;;;
367;0.206834;0.003086;1.6%;;0.207966;0.006738;3.2%;;0.214807;0.003755;1.7%;;0.227924;0.002881;1.4%;;0.222111;0.001235;0.6%;;;;;
368;0.215484;0.002841;1.5%;;0.218555;0.006655;3.0%;;0.221166;0.003481;1.5%;;0.23801;0.006144;2.8%;;0.230535;0.001472;0.7%;;;;;
369;0.228811;0.002318;1.1%;;0.228965;0.006954;3.0%;;0.23901;0.0034;1.4%;;0.253279;0.004945;2.1%;;0.247149;0.001391;0.6%;;;;;
370;0.233914;0.003566;1.7%;;0.236105;0.008048;3.4%;;0.253475;0.003464;1.3%;;0.2575;0;0.0%;;0.250725;0.001617;0.7%;;;;;
371;0.243026;0.00271;1.2%;;0.245811;0.005116;2.1%;;0.262577;0.00466;1.7%;;0.262476;0;0.0%;;0.25503;0.001114;0.5%;;;;;
372;0.246855;0.002557;1.1%;;0.252672;0.006218;2.5%;;0.26957;0.005165;1.9%;;0.266762;0;0.0%;;0.261246;0.000953;0.4%;;;;;
373;0.256677;0.003308;1.4%;;0.260587;0.005614;2.2%;;0.263043;0.003509;1.3%;;0.273118;0.002807;1.1%;;0.269208;0.000539;0.2%;;;;;
374;0.263977;0.003776;1.6%;;0.270929;0.007302;2.7%;;0.286483;0.004551;1.5%;;0.283382;0.002801;1.1%;;0.277081;0.000825;0.3%;;;;;
375;0.271482;0.00329;1.3%;;0.279646;0.00475;1.7%;;0.301614;0.003463;1.1%;;0.291372;0.008312;3.1%;;0.284495;0.001064;0.4%;;;;;
376;0.278246;0.003547;1.4%;;0.288444;0.004582;1.6%;;0.290858;0.003251;1.1%;;0.297114;0.003941;1.4%;;0.292483;0.000973;0.4%;;;;;
377;0.286348;0.002939;1.1%;;0.29159;0.005928;2.0%;;0.318241;0.004164;1.3%;;0.304622;0.005487;1.9%;;0.300212;0.001164;0.4%;;;;;
378;0.295027;0.003467;1.3%;;0.304207;0.006641;2.2%;;0.314852;0.004834;1.5%;;0.312606;0.00625;2.1%;;0.307137;0.001013;0.3%;;;;;
379;0.303098;0.002114;0.8%;;0.310096;0.007192;2.3%;;0.304022;0.006172;2.0%;;0.316511;0.003888;1.3%;;0.312283;0.000863;0.3%;;;;;
380;0.307312;0.001856;0.7%;;0.314213;0.003998;1.3%;;0.310691;0.004569;1.4%;;0.320019;0.005711;1.9%;;0.317259;0.001023;0.3%;;;;;
381;0.322347;0.003184;1.1%;;0.329578;0.005794;1.8%;;0.337861;0.003352;1.0%;;0.333504;0.002298;0.7%;;0.332355;0.000946;0.3%;;;;;
382;0.326005;0.003216;1.1%;;0.333998;0.007709;2.3%;;0.344309;0.00175;0.5%;;0.338255;0.001135;0.4%;;0.34043;0.000958;0.3%;;;;;
383;0.337758;0.002797;0.9%;;0.341613;0.005265;1.5%;;0.352001;0.003573;1.0%;;0.348053;0.002632;0.8%;;0.34857;0.001528;0.5%;;;;;
384;0.344353;0.004043;1.3%;;0.349806;0.00724;2.1%;;0.348255;0.001175;0.3%;;0.357422;0.006017;1.8%;;0.353144;0.001281;0.4%;;;;;
385;0.352155;0.002546;0.8%;;0.360891;0.007148;2.0%;;0.359536;0.001869;0.5%;;0.368039;0.001121;0.3%;;0.363974;0.000911;0.3%;;;;;
386;0.374415;0.003641;1.1%;;0.381098;0.007282;1.9%;;0.390823;0.002258;0.6%;;0.38414;0.004056;1.1%;;0.38096;0.000876;0.2%;;;;;
387;0.385457;0.003017;0.9%;;0.39232;0.007692;2.0%;;0.400886;0.002856;0.7%;;0.396327;0.003685;1.0%;;0.391859;0.001048;0.3%;;;;;
388;0.394853;0.003222;0.9%;;0.400606;0.010356;2.6%;;0.417544;0.00336;0.8%;;0.408523;0.004418;1.2%;;0.408523;0.000748;0.2%;;;;;
389;0.406852;0.001775;0.5%;;0.409948;0.010243;2.5%;;0.412998;0.001684;0.4%;;0.420145;0.005827;1.5%;;0.417505;0.000683;0.2%;;;;;
390;0.419605;0.002686;0.7%;;0.421517;0.009243;2.2%;;0.437089;0.004872;1.1%;;0.432308;0.005464;1.4%;;0.428893;0.001377;0.3%;;;;;
391;0.431081;0.002931;0.7%;;0.433005;0.008884;2.1%;;0.427921;0.003847;0.9%;;0.442393;0.002565;0.6%;;0.442988;0.001122;0.3%;;;;;
392;0.446081;0.00384;0.9%;;0.45008;0.009952;2.2%;;0.445718;0.002863;0.6%;;0.456079;0.003636;0.9%;;0.459669;0.000784;0.2%;;;;;
393;0.460428;0.00388;0.9%;;0.466236;0.008712;1.9%;;0.453757;0.004401;0.9%;;0.470864;0.007623;1.7%;;0.474449;0.000783;0.2%;;;;;
394;0.467652;0.003188;0.7%;;0.477327;0.008726;1.8%;;0.457207;0.004024;0.9%;;0.480221;0.009405;2.1%;;0.481216;0.000893;0.2%;;;;;
395;0.481034;0.003176;0.7%;;0.491304;0.005586;1.1%;;0.477835;0.004459;0.9%;;0.493556;0.008288;1.8%;;0.495088;0.000687;0.1%;;;;;
396;0.501593;0.002721;0.6%;;0.507352;0.006168;1.2%;;0.51157;0.003356;0.6%;;0.505266;0.001814;0.4%;;0.506899;0.000952;0.2%;;;;;
397;0.520312;0.001813;0.4%;;0.522578;0.004306;0.8%;;0.535271;0.002629;0.5%;;0.528607;0;0.0%;;0.529015;0.000839;0.2%;;;;;
398;0.531766;0.003018;0.6%;;0.535279;0.006351;1.2%;;0.545595;0.002207;0.4%;;0.532712;0.002162;0.4%;;0.54118;0.000845;0.2%;;;;;
399;0.541518;0.001854;0.4%;;0.546267;0.00719;1.3%;;0.54699;0.002668;0.5%;;0.548392;0.005065;1.0%;;0.553864;0.000927;0.2%;;;;;
400;0.556746;0.002684;0.5%;;0.555563;0.006278;1.1%;;0.575715;0.004412;0.7%;;0.561022;0.007642;1.5%;;0.560158;0.000773;0.1%;;;;;
401;0.569032;0.003206;0.6%;;0.575624;0.005373;0.9%;;0.582307;0.006592;1.1%;;0.572554;0.003974;0.7%;;0.57427;0.000993;0.2%;;;;;
402;0.580166;0.002224;0.4%;;0.58412;0.003235;0.6%;;0.592388;0.00647;1.1%;;0.583491;0.009346;1.7%;;0.589917;0.000786;0.1%;;;;;
403;0.620485;0.003478;0.6%;;0.619498;0.006507;1.1%;;0.630448;0.002917;0.4%;;0.621562;0.008258;1.4%;;0.622504;0.001212;0.2%;;;;;
404;0.67291;0.00341;0.6%;;0.675728;0.004819;0.7%;;0.672092;0.004046;0.6%;;0.675183;0.008365;1.3%;;0.680638;0.001091;0.2%;;;;;
405;0.68795;0.002713;0.4%;;0.692291;0.004432;0.6%;;0.679403;0.006874;1.0%;;0.687046;0.006512;1.0%;;0.693919;0.001006;0.2%;;;;;
406;0.667088;0.003163;0.5%;;0.671593;0.005325;0.8%;;0.672822;0.003595;0.5%;;0.66777;0.005825;0.9%;;0.675416;0.000728;0.1%;;;;;
407;0.667287;0.003882;0.6%;;0.668246;0.004978;0.7%;;0.664181;0.002649;0.4%;;0.665871;0.002192;0.4%;;0.672584;0.000525;0.1%;;;;;
408;0.670347;0.002457;0.4%;;0.673368;0.003381;0.5%;;0.679545;0.006808;1.0%;;0.668408;0.00541;0.9%;;0.679815;0.000676;0.1%;;;;;
409;0.678193;0.002498;0.4%;;0.680219;0.005221;0.8%;;0.679094;0.009407;1.3%;;0.675898;0.0018;0.3%;;0.687735;0.000731;0.1%;;;;;
410;0.686924;0.003234;0.5%;;0.694247;0.00301;0.4%;;0.697212;0.010198;1.4%;;0.687912;0;0.0%;;0.697751;0.001179;0.2%;;;;;
411;0.70224;0.002414;0.4%;;0.710915;0.003353;0.5%;;0.711809;0.007467;1.0%;;0.704968;0;0.0%;;0.711138;0.001241;0.2%;;;;;
412;0.720051;0.004071;0.6%;;0.721074;0.004493;0.6%;;0.729616;0.006451;0.9%;;0.71618;0.004271;0.6%;;0.724277;0.001179;0.2%;;;;;
413;0.740198;0.003773;0.6%;;0.737039;0.002501;0.3%;;0.757441;0.006274;0.8%;;0.73059;0.013689;2.0%;;0.741821;0.00068;0.1%;;;;;
414;0.747692;0.00286;0.4%;;0.749756;0.002967;0.4%;;0.758915;0.005762;0.7%;;0.740467;0.026146;3.8%;;0.749197;0.000828;0.1%;;;;;
415;0.757653;0.002853;0.4%;;0.76204;0.003322;0.4%;;0.769961;0.006643;0.8%;;0.751095;0.022486;3.2%;;0.762508;0.000735;0.1%;;;;;
416;0.774884;0.002286;0.3%;;0.774254;0.003943;0.5%;;0.782475;0.012373;1.5%;;0.764272;0.020803;2.9%;;0.775974;0.00087;0.1%;;;;;
417;0.786685;0.002604;0.4%;;0.790902;0.00372;0.5%;;0.784412;0.018147;2.2%;;0.781022;0.014551;2.0%;;0.791687;0.000785;0.1%;;;;;
418;0.806751;0.002701;0.4%;;0.814774;0.002943;0.4%;;0.809573;0.025722;3.1%;;0.803566;0.015159;2.0%;;0.812355;0.000726;0.1%;;;;;
419;0.827134;0.002086;0.3%;;0.827016;0.003306;0.4%;;0.82863;0.026091;3.1%;;0.823514;0.015741;2.0%;;0.832604;0.000846;0.1%;;;;;
420;0.837636;0.002638;0.3%;;0.839754;0.004852;0.6%;;0.841602;0.028187;3.2%;;0.834709;0.021256;2.7%;;0.844067;0.000751;0.1%;;;;;
421;0.846197;0.003413;0.4%;;0.84946;0.006264;0.7%;;0.856999;0.023405;2.6%;;0.840795;0.038709;4.9%;;0.853323;0.001378;0.2%;;;;;
422;0.858618;0.001991;0.3%;;0.861248;0.005917;0.7%;;0.860846;0.013515;1.5%;;0.853359;0.051136;6.4%;;0.859422;0.000822;0.1%;;;;;
423;0.87689;0.002378;0.3%;;0.880835;0.006623;0.8%;;0.888903;0.007821;0.9%;;0.874565;0.036075;4.4%;;0.884535;0.000713;0.1%;;;;;
424;0.894762;0.002317;0.3%;;0.896284;0.006051;0.7%;;0.904583;0.007434;0.8%;;0.891304;0.023514;2.8%;;0.90396;0.000778;0.1%;;;;;
425;0.913503;0.00199;0.2%;;0.91465;0.006711;0.7%;;0.929185;0.012411;1.3%;;0.904836;0.014299;1.7%;;0.918326;0.000666;0.1%;;;;;
426;0.933297;0.00199;0.2%;;0.937012;0.008592;0.9%;;0.937377;0.020071;2.1%;;0.925103;0.005573;0.6%;;0.937079;0.000746;0.1%;;;;;
427;0.947435;0.002131;0.2%;;0.956313;0.009847;1.0%;;0.956119;0.017885;1.8%;;0.942786;0.005424;0.6%;;0.953343;0.00071;0.1%;;;;;
428;0.970235;0.002191;0.2%;;0.975932;0.01255;1.3%;;0.975493;0.00964;1.0%;;0.963819;0.005759;0.6%;;0.971612;0.001307;0.1%;;;;;
429;0.98462;0.002325;0.3%;;0.992208;0.01747;1.8%;;0.99181;0.010005;1.0%;;0.98309;0.005874;0.6%;;0.987313;0.001308;0.1%;;;;;
430;1.001473;0.003009;0.3%;;1.002857;0.023828;2.4%;;1.016666;0.010831;1.0%;;0.993801;0.002648;0.3%;;1.000329;0.001218;0.1%;;;;;
431;1.024374;0.003162;0.3%;;1.026641;0.031236;3.0%;;1.038216;0.016379;1.5%;;1.016855;0.00358;0.4%;;1.024911;0.000552;0.1%;;;;;
432;1.04729;0.003154;0.3%;;1.055517;0.048836;4.6%;;1.050662;0.017965;1.7%;;1.042959;0.004186;0.4%;;1.048046;0.000632;0.1%;;;;;
433;1.068805;0.003154;0.3%;;1.076517;0.057626;5.4%;;1.062842;0.012529;1.1%;;1.062727;0.005734;0.6%;;1.07041;0.000889;0.1%;;;;;
434;1.13211;0.002925;0.3%;;1.141618;0.067371;5.9%;;1.131941;0.010408;0.9%;;1.128875;0.004276;0.4%;;1.138354;0.001414;0.1%;;;;;
435;1.375491;0.004008;0.3%;;1.385656;0.081571;5.9%;;1.359347;0.010165;0.7%;;1.368852;0.003306;0.3%;;1.384499;0.001474;0.1%;;;;;
436;1.505175;0.002723;0.2%;;1.515821;0.08221;5.4%;;1.501016;0.01278;0.8%;;1.493709;0.004379;0.3%;;1.515055;0.001047;0.1%;;;;;
437;1.276797;0.002459;0.2%;;1.282945;0.052953;4.1%;;1.286046;0.017214;1.3%;;1.263352;0.005132;0.4%;;1.277679;0.000936;0.1%;;;;;
438;1.198051;0.002643;0.2%;;1.203733;0.037425;3.1%;;1.210288;0.013982;1.1%;;1.186897;0.006343;0.6%;;1.19969;0.000826;0.1%;;;;;
439;1.188766;0.001873;0.2%;;1.196153;0.029627;2.5%;;1.20135;0.00963;0.8%;;1.177685;0.00591;0.5%;;1.192169;0.000798;0.1%;;;;;
440;1.200917;0.002314;0.2%;;1.204864;0.024236;2.0%;;1.202224;0.00732;0.6%;;1.18808;0.003974;0.4%;;1.201021;0.000824;0.1%;;;;;
441;1.218677;0.002359;0.2%;;1.222442;0.019338;1.6%;;1.219889;0.007194;0.6%;;1.201015;0.003919;0.3%;;1.214165;0.000864;0.1%;;;;;
442;1.239432;0.002723;0.2%;;1.240496;0.014261;1.1%;;1.22317;0.009904;0.8%;;1.223068;0.003242;0.3%;;1.23586;0.000735;0.1%;;;;;
443;1.257229;0.003373;0.3%;;1.256678;0.011561;0.9%;;1.257129;0.019762;1.5%;;1.240703;0.003611;0.3%;;1.25437;0.000614;0.1%;;;;;
444;1.277158;0.003949;0.3%;;1.28164;0.012034;0.9%;;1.299047;0.032362;2.4%;;1.262748;0.00515;0.4%;;1.276911;0.000699;0.1%;;;;;
445;1.298761;0.00353;0.3%;;1.300322;0.011073;0.9%;;1.312733;0.031436;2.3%;;1.28531;0.003171;0.3%;;1.297522;0.000743;0.1%;;;;;
446;1.32475;0.003616;0.3%;;1.330081;0.008885;0.7%;;1.328477;0.016636;1.2%;;1.315692;0.002369;0.2%;;1.328403;0.000549;0.0%;;;;;
447;1.341677;0.003432;0.3%;;1.349894;0.008869;0.7%;;1.345592;0.014524;1.0%;;1.33276;0.0029;0.2%;;1.339647;0.000713;0.1%;;;;;
448;1.359942;0.003043;0.2%;;1.367417;0.008984;0.7%;;1.359607;0.019573;1.4%;;1.346311;0.004791;0.4%;;1.357427;0.000659;0.1%;;;;;
449;1.378096;0.002845;0.2%;;1.385038;0.008075;0.6%;;1.386785;0.024649;1.7%;;1.368558;0.004911;0.4%;;1.377412;0.000514;0.0%;;;;;
450;1.39409;0.002927;0.2%;;1.399473;0.007899;0.6%;;1.403681;0.024636;1.7%;;1.382571;0.00489;0.4%;;1.396017;0.000758;0.1%;;;;;
451;1.419968;0.003435;0.3%;;1.4256;0.007478;0.5%;;1.433148;0.013811;0.9%;;1.40791;0.003739;0.3%;;1.420949;0.00191;0.1%;;;;;
452;1.440573;0.003771;0.3%;;1.450653;0.007822;0.5%;;1.453726;0.010173;0.7%;;1.428515;0.004283;0.3%;;1.443646;0.002456;0.2%;;;;;
453;1.45642;0.00468;0.4%;;1.466451;0.006818;0.5%;;1.463724;0.008806;0.6%;;1.445395;0.005177;0.4%;;1.456674;0.002046;0.1%;;;;;
