id,file,error_ref,error_tgt
1002,220402_0923_R001_T003,0,1
1004,220402_0923_R001_T005,0,1
1006,220402_0924_R001_T007,0,1
1008,220402_0925_R001_T009,0,1
2009,220402_0926_R001_T012,0,1
2001,220402_0932_R015_T017,0,1
2004,220402_0932_R015_T020,0,1
2006,220402_0933_R015_T022,0,1
3009,220402_0934_R015_T027,0,1
3008,220402_0934_R015_T028,0,1
3006,220402_0935_R015_T030,0,1
3005,220402_0935_R015_T031,0,1
3003,220402_0936_R015_T033,0,1
4004,220402_0938_R036_T041,0,1
4005,220402_0938_R036_T042,0,1
4008,220402_0939_R036_T045,0,1
4009,220402_0939_R036_T046,0,1
