Wavlength (nm);Band 1;Band 2;Band 3;Band 5;Band 4
360;2.6%;5.3%;3.8%;0.0%;0.9%
361;2.5%;4.8%;2.9%;1.5%;0.8%
362;1.8%;4.5%;1.4%;2.6%;0.7%
363;1.1%;4.0%;2.0%;0.0%;0.6%
364;1.8%;3.3%;2.2%;2.5%;0.6%
365;2.3%;2.2%;1.2%;3.1%;0.8%
366;1.8%;3.0%;1.3%;3.2%;0.5%
367;1.6%;3.2%;1.7%;1.4%;0.6%
368;1.5%;3.0%;1.5%;2.8%;0.7%
369;1.1%;3.0%;1.4%;2.1%;0.6%
370;1.7%;3.4%;1.3%;0.0%;0.7%
371;1.2%;2.1%;1.7%;0.0%;0.5%
372;1.1%;2.5%;1.9%;0.0%;0.4%
373;1.4%;2.2%;1.3%;1.1%;0.2%
374;1.6%;2.7%;1.5%;1.1%;0.3%
375;1.3%;1.7%;1.1%;3.1%;0.4%
376;1.4%;1.6%;1.1%;1.4%;0.4%
377;1.1%;2.0%;1.3%;1.9%;0.4%
378;1.3%;2.2%;1.5%;2.1%;0.3%
379;0.8%;2.3%;2.0%;1.3%;0.3%
380;0.7%;1.3%;1.4%;1.9%;0.3%
381;1.1%;1.8%;1.0%;0.7%;0.3%
382;1.1%;2.3%;0.5%;0.4%;0.3%
383;0.9%;1.5%;1.0%;0.8%;0.5%
384;1.3%;2.1%;0.3%;1.8%;0.4%
385;0.8%;2.0%;0.5%;0.3%;0.3%
386;1.1%;1.9%;0.6%;1.1%;0.2%
387;0.9%;2.0%;0.7%;1.0%;0.3%
388;0.9%;2.6%;0.8%;1.2%;0.2%
389;0.5%;2.5%;0.4%;1.5%;0.2%
390;0.7%;2.2%;1.1%;1.4%;0.3%
391;0.7%;2.1%;0.9%;0.6%;0.3%
392;0.9%;2.2%;0.6%;0.9%;0.2%
393;0.9%;1.9%;0.9%;1.7%;0.2%
394;0.7%;1.8%;0.9%;2.1%;0.2%
395;0.7%;1.1%;0.9%;1.8%;0.1%
396;0.6%;1.2%;0.6%;0.4%;0.2%
397;0.4%;0.8%;0.5%;0.0%;0.2%
398;0.6%;1.2%;0.4%;0.4%;0.2%
399;0.4%;1.3%;0.5%;1.0%;0.2%
400;0.5%;1.1%;0.7%;1.5%;0.1%
401;0.6%;0.9%;1.1%;0.7%;0.2%
402;0.4%;0.6%;1.1%;1.7%;0.1%
403;0.6%;1.1%;0.4%;1.4%;0.2%
404;0.6%;0.7%;0.6%;1.3%;0.2%
405;0.4%;0.6%;1.0%;1.0%;0.2%
406;0.5%;0.8%;0.5%;0.9%;0.1%
407;0.6%;0.7%;0.4%;0.4%;0.1%
408;0.4%;0.5%;1.0%;0.9%;0.1%
409;0.4%;0.8%;1.3%;0.3%;0.1%
410;0.5%;0.4%;1.4%;0.0%;0.2%
411;0.4%;0.5%;1.0%;0.0%;0.2%
412;0.6%;0.6%;0.9%;0.6%;0.2%
413;0.6%;0.3%;0.8%;2.0%;0.1%
414;0.4%;0.4%;0.7%;3.8%;0.1%
415;0.4%;0.4%;0.8%;3.2%;0.1%
416;0.3%;0.5%;1.5%;2.9%;0.1%
417;0.4%;0.5%;2.2%;2.0%;0.1%
418;0.4%;0.4%;3.1%;2.0%;0.1%
419;0.3%;0.4%;3.1%;2.0%;0.1%
420;0.3%;0.6%;3.2%;2.7%;0.1%
421;0.4%;0.7%;2.6%;4.9%;0.2%
422;0.3%;0.7%;1.5%;6.4%;0.1%
423;0.3%;0.8%;0.9%;4.4%;0.1%
424;0.3%;0.7%;0.8%;2.8%;0.1%
425;0.2%;0.7%;1.3%;1.7%;0.1%
426;0.2%;0.9%;2.1%;0.6%;0.1%
427;0.2%;1.0%;1.8%;0.6%;0.1%
428;0.2%;1.3%;1.0%;0.6%;0.1%
429;0.3%;1.8%;1.0%;0.6%;0.1%
430;0.3%;2.4%;1.0%;0.3%;0.1%
431;0.3%;3.0%;1.5%;0.4%;0.1%
432;0.3%;4.6%;1.7%;0.4%;0.1%
433;0.3%;5.4%;1.1%;0.6%;0.1%
434;0.3%;5.9%;0.9%;0.4%;0.1%
435;0.3%;5.9%;0.7%;0.3%;0.1%
436;0.2%;5.4%;0.8%;0.3%;0.1%
437;0.2%;4.1%;1.3%;0.4%;0.1%
438;0.2%;3.1%;1.1%;0.6%;0.1%
439;0.2%;2.5%;0.8%;0.5%;0.1%
440;0.2%;2.0%;0.6%;0.4%;0.1%
441;0.2%;1.6%;0.6%;0.3%;0.1%
442;0.2%;1.1%;0.8%;0.3%;0.1%
443;0.3%;0.9%;1.5%;0.3%;0.1%
444;0.3%;0.9%;2.4%;0.4%;0.1%
445;0.3%;0.9%;2.3%;0.3%;0.1%
446;0.3%;0.7%;1.2%;0.2%;0.0%
447;0.3%;0.7%;1.0%;0.2%;0.1%
448;0.2%;0.7%;1.4%;0.4%;0.1%
449;0.2%;0.6%;1.7%;0.4%;0.0%
450;0.2%;0.6%;1.7%;0.4%;0.1%
451;0.3%;0.5%;0.9%;0.3%;0.1%
452;0.3%;0.5%;0.7%;0.3%;0.2%
453;0.4%;0.5%;0.6%;0.4%;0.1%
454;0.4%;0.4%;0.8%;0.8%;0.1%
455;0.4%;0.4%;1.3%;1.6%;0.1%
456;0.3%;0.3%;1.6%;3.0%;0.1%
457;0.4%;0.4%;1.3%;3.8%;0.1%
458;0.5%;0.4%;0.9%;3.1%;0.1%
459;0.7%;0.3%;0.7%;1.6%;0.1%
460;0.9%;0.3%;0.9%;1.0%;0.1%
461;1.3%;0.3%;1.4%;0.6%;0.1%
462;2.0%;0.3%;2.1%;0.4%;0.1%
463;4.1%;0.3%;2.7%;0.3%;0.0%
464;6.8%;0.3%;2.1%;0.2%;0.0%
465;11.2%;0.3%;1.5%;0.2%;0.0%
466;18.8%;0.3%;1.1%;0.3%;0.1%
467;35.8%;0.2%;0.9%;0.3%;0.0%
468;47.7%;0.2%;1.0%;0.2%;0.0%
469;57.0%;0.1%;1.2%;0.1%;0.0%
470;63.1%;0.2%;1.8%;0.1%;0.0%
471;68.1%;0.2%;3.1%;0.2%;0.0%
472;74.1%;0.2%;3.9%;0.1%;0.0%
473;76.8%;0.1%;3.0%;0.1%;0.0%
474;78.4%;0.1%;2.0%;0.1%;0.0%
475;79.7%;0.1%;1.6%;0.0%;0.0%
476;82.7%;0.2%;1.8%;0.2%;0.0%
477;84.3%;0.2%;2.1%;0.2%;0.1%
478;85.3%;0.2%;2.3%;0.1%;0.0%
479;85.1%;0.2%;2.0%;0.1%;0.0%
480;84.1%;0.1%;1.2%;0.1%;0.0%
481;83.7%;0.1%;0.8%;0.1%;0.0%
482;83.1%;0.1%;0.6%;0.0%;0.0%
483;81.0%;0.2%;0.5%;0.0%;0.1%
484;78.7%;0.2%;0.5%;0.0%;0.0%
485;76.2%;0.2%;0.4%;0.0%;0.0%
486;73.7%;0.2%;0.5%;0.0%;0.0%
487;69.9%;0.1%;0.6%;0.1%;0.0%
488;67.8%;0.1%;0.7%;0.1%;0.0%
489;64.1%;0.1%;0.6%;0.2%;0.0%
490;56.5%;0.1%;0.6%;0.3%;0.1%
